Frame,Bat Angle,Feedback
204,N/A,No pose detected
205,N/A,No pose detected
206,N/A,No pose detected
207,N/A,No pose detected
208,N/A,No pose detected
209,N/A,No pose detected
210,N/A,No pose detected
211,N/A,No pose detected
212,N/A,No pose detected
213,N/A,No pose detected
214,N/A,No pose detected
215,N/A,No pose detected
216,N/A,No pose detected
217,N/A,No pose detected
218,N/A,No pose detected
219,N/A,No pose detected
220,N/A,No pose detected
221,N/A,No pose detected
222,N/A,No pose detected
223,N/A,No pose detected
224,N/A,No pose detected
225,N/A,No pose detected
226,N/A,No pose detected
227,N/A,No pose detected
228,N/A,No pose detected
229,N/A,No pose detected
230,N/A,No pose detected
231,N/A,No pose detected
232,N/A,No pose detected
233,N/A,No pose detected
234,N/A,No pose detected
235,N/A,No pose detected
236,N/A,No pose detected
237,N/A,No pose detected
238,N/A,No pose detected
239,N/A,No pose detected
240,N/A,No pose detected
241,N/A,No pose detected
242,N/A,No pose detected
243,N/A,No pose detected
244,N/A,No pose detected
245,N/A,No pose detected
246,N/A,No pose detected
247,N/A,No pose detected
248,N/A,No pose detected
249,N/A,No pose detected
250,172.9,Swing too wide; reduces control.
251,169.0,Swing too wide; reduces control.
252,165.7,Swing too wide; reduces control.
253,167.7,Swing too wide; reduces control.
254,170.0,Swing too wide; reduces control.
255,166.8,Swing too wide; reduces control.
256,173.7,Swing too wide; reduces control.
257,172.6,Swing too wide; reduces control.
258,176.7,Swing too wide; reduces control.
259,173.3,Swing too wide; reduces control.
260,172.6,Swing too wide; reduces control.
261,169.4,Swing too wide; reduces control.
262,168.9,Swing too wide; reduces control.
263,169.8,Swing too wide; reduces control.
264,172.4,Swing too wide; reduces control.
265,165.2,Swing too wide; reduces control.
266,166.1,Swing too wide; reduces control.
267,165.6,Swing too wide; reduces control.
268,164.3,Swing too wide; reduces control.
269,163.8,Swing too wide; reduces control.
270,167.1,Swing too wide; reduces control.
271,166.5,Swing too wide; reduces control.
272,166.0,Swing too wide; reduces control.
273,158.1,Good swing angle!
274,158.4,Good swing angle!
275,159.7,Good swing angle!
276,163.1,Swing too wide; reduces control.
277,168.9,Swing too wide; reduces control.
278,172.7,Swing too wide; reduces control.
279,176.1,Swing too wide; reduces control.
280,125.6,Good swing angle!
281,153.9,Good swing angle!
282,160.2,Swing too wide; reduces control.
283,124.1,Good swing angle!
284,115.1,Increase bat swing angle for more power.
285,178.7,Swing too wide; reduces control.
286,178.1,Swing too wide; reduces control.
287,178.3,Swing too wide; reduces control.
288,170.5,Swing too wide; reduces control.
289,164.2,Swing too wide; reduces control.
290,175.2,Swing too wide; reduces control.
291,179.5,Swing too wide; reduces control.
292,172.1,Swing too wide; reduces control.
293,170.4,Swing too wide; reduces control.
294,167.4,Swing too wide; reduces control.
295,168.5,Swing too wide; reduces control.
296,168.7,Swing too wide; reduces control.
297,174.6,Swing too wide; reduces control.
298,179.3,Swing too wide; reduces control.
299,179.6,Swing too wide; reduces control.
300,156.6,Good swing angle!
301,140.8,Good swing angle!
302,161.4,Swing too wide; reduces control.
303,149.6,Good swing angle!
304,137.2,Good swing angle!
305,135.2,Good swing angle!
306,133.6,Good swing angle!
307,131.5,Good swing angle!
308,135.7,Good swing angle!
309,143.2,Good swing angle!
310,151.1,Good swing angle!
311,147.3,Good swing angle!
312,157.1,Good swing angle!
313,149.3,Good swing angle!
314,159.1,Good swing angle!
315,161.4,Swing too wide; reduces control.
316,158.7,Good swing angle!
317,158.1,Good swing angle!
318,159.5,Good swing angle!
319,155.5,Good swing angle!
320,157.2,Good swing angle!
321,168.1,Swing too wide; reduces control.
322,166.5,Swing too wide; reduces control.
323,158.0,Good swing angle!
324,174.2,Swing too wide; reduces control.
325,178.3,Swing too wide; reduces control.
326,N/A,No pose detected
327,166.1,Swing too wide; reduces control.
328,154.9,Good swing angle!
329,153.1,Good swing angle!
330,158.7,Good swing angle!
331,171.1,Swing too wide; reduces control.
332,175.3,Swing too wide; reduces control.
333,179.7,Swing too wide; reduces control.
334,126.6,Good swing angle!
335,169.6,Swing too wide; reduces control.
336,164.3,Swing too wide; reduces control.
337,137.8,Good swing angle!
338,143.7,Good swing angle!
339,165.2,Swing too wide; reduces control.
340,168.7,Swing too wide; reduces control.
341,170.6,Swing too wide; reduces control.
342,162.4,Swing too wide; reduces control.
343,158.5,Good swing angle!
344,159.5,Good swing angle!
345,172.0,Swing too wide; reduces control.
346,168.7,Swing too wide; reduces control.
347,160.2,Swing too wide; reduces control.
348,157.6,Good swing angle!
349,159.7,Good swing angle!
350,174.4,Swing too wide; reduces control.
351,169.9,Swing too wide; reduces control.
352,147.7,Good swing angle!
353,157.3,Good swing angle!
354,162.2,Swing too wide; reduces control.
355,164.5,Swing too wide; reduces control.
356,170.2,Swing too wide; reduces control.
357,177.6,Swing too wide; reduces control.
358,180.0,Swing too wide; reduces control.
359,178.3,Swing too wide; reduces control.
360,177.7,Swing too wide; reduces control.
361,176.5,Swing too wide; reduces control.
362,173.2,Swing too wide; reduces control.
363,164.5,Swing too wide; reduces control.
364,159.6,Good swing angle!
365,159.6,Good swing angle!
366,159.6,Good swing angle!
367,157.1,Good swing angle!
368,159.1,Good swing angle!
369,162.9,Swing too wide; reduces control.
370,156.2,Good swing angle!
371,167.7,Swing too wide; reduces control.
372,171.9,Swing too wide; reduces control.
373,169.3,Swing too wide; reduces control.
374,110.6,Increase bat swing angle for more power.
375,122.4,Good swing angle!
376,117.1,Increase bat swing angle for more power.
377,118.8,Increase bat swing angle for more power.
378,116.7,Increase bat swing angle for more power.
379,124.8,Good swing angle!
380,149.0,Good swing angle!
381,176.5,Swing too wide; reduces control.
382,164.8,Swing too wide; reduces control.
383,172.5,Swing too wide; reduces control.
384,159.5,Good swing angle!
385,176.6,Swing too wide; reduces control.
386,174.1,Swing too wide; reduces control.
387,175.9,Swing too wide; reduces control.
388,175.1,Swing too wide; reduces control.
389,172.1,Swing too wide; reduces control.
390,162.2,Swing too wide; reduces control.
391,155.3,Good swing angle!
392,149.3,Good swing angle!
393,162.9,Swing too wide; reduces control.
394,171.6,Swing too wide; reduces control.
395,179.9,Swing too wide; reduces control.
396,174.8,Swing too wide; reduces control.
397,169.7,Swing too wide; reduces control.
398,170.9,Swing too wide; reduces control.
399,170.2,Swing too wide; reduces control.
400,171.3,Swing too wide; reduces control.
401,171.8,Swing too wide; reduces control.
402,175.3,Swing too wide; reduces control.
403,177.6,Swing too wide; reduces control.
404,177.2,Swing too wide; reduces control.
405,115.5,Increase bat swing angle for more power.
406,164.3,Swing too wide; reduces control.
407,167.0,Swing too wide; reduces control.
408,163.0,Swing too wide; reduces control.
409,159.9,Good swing angle!
410,154.9,Good swing angle!
411,161.7,Swing too wide; reduces control.
412,172.9,Swing too wide; reduces control.
413,N/A,No pose detected
414,103.0,Increase bat swing angle for more power.
415,101.6,Increase bat swing angle for more power.
416,104.4,Increase bat swing angle for more power.
417,131.9,Good swing angle!
418,162.0,Swing too wide; reduces control.
419,166.0,Swing too wide; reduces control.
420,164.8,Swing too wide; reduces control.
421,177.6,Swing too wide; reduces control.
422,177.6,Swing too wide; reduces control.
423,176.2,Swing too wide; reduces control.
424,161.7,Swing too wide; reduces control.
425,155.8,Good swing angle!
426,145.8,Good swing angle!
427,90.0,Increase bat swing angle for more power.
428,94.9,Increase bat swing angle for more power.
429,82.3,Increase bat swing angle for more power.
430,113.6,Increase bat swing angle for more power.
431,115.2,Increase bat swing angle for more power.
432,156.1,Good swing angle!
433,172.7,Swing too wide; reduces control.
434,86.5,Increase bat swing angle for more power.
435,171.7,Swing too wide; reduces control.
436,49.9,Increase bat swing angle for more power.
437,20.8,Increase bat swing angle for more power.
438,94.6,Increase bat swing angle for more power.
439,82.5,Increase bat swing angle for more power.
440,74.6,Increase bat swing angle for more power.
441,N/A,No pose detected
442,N/A,No pose detected
443,N/A,No pose detected
444,90.5,Increase bat swing angle for more power.
445,N/A,No pose detected
446,N/A,No pose detected
447,66.7,Increase bat swing angle for more power.
448,43.9,Increase bat swing angle for more power.
449,41.8,Increase bat swing angle for more power.
450,43.2,Increase bat swing angle for more power.
451,37.0,Increase bat swing angle for more power.
452,27.5,Increase bat swing angle for more power.
453,15.4,Increase bat swing angle for more power.
454,N/A,No pose detected
455,26.4,Increase bat swing angle for more power.
456,25.3,Increase bat swing angle for more power.
457,24.9,Increase bat swing angle for more power.
458,36.1,Increase bat swing angle for more power.
459,54.4,Increase bat swing angle for more power.
460,79.5,Increase bat swing angle for more power.
461,80.1,Increase bat swing angle for more power.
462,78.0,Increase bat swing angle for more power.
463,88.7,Increase bat swing angle for more power.
464,127.9,Good swing angle!
465,137.7,Good swing angle!
466,131.1,Good swing angle!
467,128.6,Good swing angle!
468,141.2,Good swing angle!
469,137.8,Good swing angle!
470,132.3,Good swing angle!
471,121.0,Good swing angle!
472,101.7,Increase bat swing angle for more power.
473,91.9,Increase bat swing angle for more power.
474,93.2,Increase bat swing angle for more power.
475,95.0,Increase bat swing angle for more power.
476,89.8,Increase bat swing angle for more power.
477,70.2,Increase bat swing angle for more power.
478,45.7,Increase bat swing angle for more power.
479,35.7,Increase bat swing angle for more power.
480,37.1,Increase bat swing angle for more power.
481,143.2,Good swing angle!
